game_id,name,category,difficulty,setting,reachable_base_records,native_bank_bucket,reuses_other_setting_records,runtime_or_rule_domain
13,KAKURO,LOGIC,MASTER,STANDARD,50,50,0,
13,KAKURO,LOGIC,HELL,STANDARD,30,30,0,
14,FUTOSHIKI,LOGIC,EASY,STANDARD,50,50,0,
14,FUTOSHIKI,LOGIC,NORMAL,STANDARD,50,50,0,
14,FUTOSHIKI,LOGIC,HARD,STANDARD,50,50,0,
14,FUTOSHIKI,LOGIC,MASTER,STANDARD,50,50,0,
14,FUTOSHIKI,LOGIC,HELL,STANDARD,30,30,0,
15,SKYSCRAPERS,LOGIC,EASY,STANDARD,50,50,0,
15,SKYSCRAPERS,LOGIC,NORMAL,STANDARD,50,50,0,
15,SKYSCRAPERS,LOGIC,HARD,STANDARD,50,50,0,
15,SKYSCRAPERS,LOGIC,MASTER,STANDARD,50,50,0,
15,SKYSCRAPERS,LOGIC,HELL,STANDARD,30,30,0,
35,HASHI,LOGIC,EASY,STANDARD,30,30,0,
35,HASHI,LOGIC,NORMAL,STANDARD,30,30,0,
35,HASHI,LOGIC,HARD,STANDARD,30,30,0,
35,HASHI,LOGIC,MASTER,STANDARD,30,30,0,
35,HASHI,LOGIC,HELL,STANDARD,30,30,0,
16,HITORI,PUZZLE,EASY,STANDARD,30,30,0,
16,HITORI,PUZZLE,NORMAL,STANDARD,30,30,0,
16,HITORI,PUZZLE,HARD,STANDARD,30,30,0,
16,HITORI,PUZZLE,MASTER,STANDARD,30,30,0,
17,BINARY PUZZLE,PUZZLE,EASY,STANDARD,30,30,0,
17,BINARY PUZZLE,PUZZLE,NORMAL,STANDARD,30,30,0,
17,BINARY PUZZLE,PUZZLE,HARD,STANDARD,30,30,0,
17,BINARY PUZZLE,PUZZLE,MASTER,STANDARD,30,30,0,
18,NUMBRIX,PUZZLE,EASY,STANDARD,30,30,0,
18,NUMBRIX,PUZZLE,NORMAL,STANDARD,30,30,0,
18,NUMBRIX,PUZZLE,HARD,STANDARD,30,30,0,
18,NUMBRIX,PUZZLE,MASTER,STANDARD,30,30,0,
19,MAGIC SQUARE,PUZZLE,EASY,PARTIAL,30,30,0,
19,MAGIC SQUARE,PUZZLE,EASY,FREE,0,0,0,one blank normal-square rule challenge per selected size
19,MAGIC SQUARE,PUZZLE,NORMAL,PARTIAL,30,30,0,
19,MAGIC SQUARE,PUZZLE,NORMAL,FREE,0,0,0,one blank normal-square rule challenge per selected size
19,MAGIC SQUARE,PUZZLE,HARD,PARTIAL,30,30,0,
19,MAGIC SQUARE,PUZZLE,HARD,FREE,0,0,0,one blank normal-square rule challenge per selected size
19,MAGIC SQUARE,PUZZLE,MASTER,PARTIAL,30,30,0,
19,MAGIC SQUARE,PUZZLE,MASTER,FREE,0,0,0,one blank normal-square rule challenge per selected size
20,SUM GRID,PUZZLE,EASY,STANDARD,30,30,0,
20,SUM GRID,PUZZLE,NORMAL,STANDARD,30,30,0,
20,SUM GRID,PUZZLE,HARD,STANDARD,30,30,0,
20,SUM GRID,PUZZLE,MASTER,STANDARD,30,30,0,
36,NONOGRAM,PUZZLE,EASY,STANDARD,30,30,0,
36,NONOGRAM,PUZZLE,NORMAL,STANDARD,30,30,0,
36,NONOGRAM,PUZZLE,HARD,STANDARD,30,30,0,
36,NONOGRAM,PUZZLE,MASTER,STANDARD,30,30,0,
21,NIM,STRATEGY,EASY,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
21,NIM,STRATEGY,EASY,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
21,NIM,STRATEGY,NORMAL,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
21,NIM,STRATEGY,NORMAL,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
21,NIM,STRATEGY,HARD,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
21,NIM,STRATEGY,HARD,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
21,NIM,STRATEGY,MASTER,YOU FIRST,30,30,0,
21,NIM,STRATEGY,MASTER,CPU FIRST,30,30,0,
22,WYTHOFF,STRATEGY,EASY,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
22,WYTHOFF,STRATEGY,EASY,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
22,WYTHOFF,STRATEGY,NORMAL,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
22,WYTHOFF,STRATEGY,NORMAL,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
22,WYTHOFF,STRATEGY,HARD,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
22,WYTHOFF,STRATEGY,HARD,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
22,WYTHOFF,STRATEGY,MASTER,YOU FIRST,30,30,0,
22,WYTHOFF,STRATEGY,MASTER,CPU FIRST,12,12,0,
23,EUCLID,STRATEGY,EASY,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
23,EUCLID,STRATEGY,EASY,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
23,EUCLID,STRATEGY,NORMAL,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
23,EUCLID,STRATEGY,NORMAL,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
23,EUCLID,STRATEGY,HARD,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
23,EUCLID,STRATEGY,HARD,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
23,EUCLID,STRATEGY,MASTER,YOU FIRST,30,30,0,
23,EUCLID,STRATEGY,MASTER,CPU FIRST,30,30,0,
24,MAKE FIFTEEN,STRATEGY,EASY,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
24,MAKE FIFTEEN,STRATEGY,EASY,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
24,MAKE FIFTEEN,STRATEGY,NORMAL,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
24,MAKE FIFTEEN,STRATEGY,NORMAL,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
24,MAKE FIFTEEN,STRATEGY,HARD,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
24,MAKE FIFTEEN,STRATEGY,HARD,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
24,MAKE FIFTEEN,STRATEGY,MASTER,YOU FIRST,30,30,0,
24,MAKE FIFTEEN,STRATEGY,MASTER,CPU FIRST,5,5,0,
25,RACE TO TARGET,STRATEGY,EASY,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
25,RACE TO TARGET,STRATEGY,EASY,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
25,RACE TO TARGET,STRATEGY,NORMAL,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
25,RACE TO TARGET,STRATEGY,NORMAL,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
25,RACE TO TARGET,STRATEGY,HARD,YOU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
25,RACE TO TARGET,STRATEGY,HARD,CPU FIRST,0,0,0,bounded rule-state generator; finite domain not exhaustively counted
25,RACE TO TARGET,STRATEGY,MASTER,YOU FIRST,30,30,0,
25,RACE TO TARGET,STRATEGY,MASTER,CPU FIRST,30,30,0,
37,REVERSI,STRATEGY,EASY,YOU FIRST,0,0,0,standard Reversi board and bounded CPU policy
37,REVERSI,STRATEGY,EASY,CPU FIRST,0,0,0,standard Reversi board and bounded CPU policy
37,REVERSI,STRATEGY,NORMAL,YOU FIRST,0,0,0,standard Reversi board and bounded CPU policy
37,REVERSI,STRATEGY,NORMAL,CPU FIRST,0,0,0,standard Reversi board and bounded CPU policy
37,REVERSI,STRATEGY,HARD,YOU FIRST,0,0,0,standard Reversi board and bounded CPU policy
37,REVERSI,STRATEGY,HARD,CPU FIRST,0,0,0,standard Reversi board and bounded CPU policy
37,REVERSI,STRATEGY,MASTER,YOU FIRST,0,0,0,standard Reversi board and bounded CPU policy
37,REVERSI,STRATEGY,MASTER,CPU FIRST,0,0,0,standard Reversi board and bounded CPU policy
26,2048,BOARD,EASY,CLASSIC,0,0,0,rule-based 2048 state space; no finite puzzle bank
26,2048,BOARD,EASY,TARGET,0,0,0,rule-based 2048 state space; no finite puzzle bank
26,2048,BOARD,NORMAL,CLASSIC,0,0,0,rule-based 2048 state space; no finite puzzle bank
26,2048,BOARD,NORMAL,TARGET,0,0,0,rule-based 2048 state space; no finite puzzle bank
26,2048,BOARD,HARD,CLASSIC,0,0,0,rule-based 2048 state space; no finite puzzle bank
26,2048,BOARD,HARD,TARGET,0,0,0,rule-based 2048 state space; no finite puzzle bank
26,2048,BOARD,MASTER,CLASSIC,0,0,0,rule-based 2048 state space; no finite puzzle bank
26,2048,BOARD,MASTER,TARGET,0,0,0,rule-based 2048 state space; no finite puzzle bank
27,SLIDING PUZZLE,BOARD,EASY,3x3,128,128,0,
27,SLIDING PUZZLE,BOARD,EASY,4x4,128,128,0,
27,SLIDING PUZZLE,BOARD,NORMAL,3x3,128,128,0,
27,SLIDING PUZZLE,BOARD,NORMAL,4x4,128,128,0,
27,SLIDING PUZZLE,BOARD,HARD,3x3,128,128,0,
27,SLIDING PUZZLE,BOARD,HARD,4x4,128,128,0,
27,SLIDING PUZZLE,BOARD,MASTER,3x3,2,2,0,
27,SLIDING PUZZLE,BOARD,MASTER,4x4,30,30,0,
28,LIGHTS OUT,BOARD,EASY,4x4,0,0,0,bounded solvable light patterns; no finite shipped bank
28,LIGHTS OUT,BOARD,EASY,5x5,0,0,0,bounded solvable light patterns; no finite shipped bank
28,LIGHTS OUT,BOARD,NORMAL,4x4,0,0,0,bounded solvable light patterns; no finite shipped bank
28,LIGHTS OUT,BOARD,NORMAL,5x5,0,0,0,bounded solvable light patterns; no finite shipped bank
28,LIGHTS OUT,BOARD,HARD,4x4,0,0,0,bounded solvable light patterns; no finite shipped bank
28,LIGHTS OUT,BOARD,HARD,5x5,0,0,0,bounded solvable light patterns; no finite shipped bank
28,LIGHTS OUT,BOARD,MASTER,4x4,30,30,0,
28,LIGHTS OUT,BOARD,MASTER,5x5,30,30,0,
31,SHIKAKU,BOARD,EASY,STANDARD,30,30,0,
31,SHIKAKU,BOARD,NORMAL,STANDARD,30,30,0,
31,SHIKAKU,BOARD,HARD,STANDARD,30,30,0,
31,SHIKAKU,BOARD,MASTER,STANDARD,30,30,0,
32,SLITHERLINK,BOARD,EASY,STANDARD,30,30,0,
32,SLITHERLINK,BOARD,NORMAL,STANDARD,30,30,0,
32,SLITHERLINK,BOARD,HARD,STANDARD,30,30,0,
32,SLITHERLINK,BOARD,MASTER,STANDARD,30,30,0,
38,NET,BOARD,EASY,STANDARD,0,0,0,seeded spanning-tree network and rotations; domain not exhaustively counted
38,NET,BOARD,NORMAL,STANDARD,0,0,0,seeded spanning-tree network and rotations; domain not exhaustively counted
38,NET,BOARD,HARD,STANDARD,0,0,0,seeded spanning-tree network and rotations; domain not exhaustively counted
38,NET,BOARD,MASTER,STANDARD,0,0,0,seeded spanning-tree network and rotations; domain not exhaustively counted
